id,never,rarely,sometimes,frequently,always,id_county
85,0.036000000000000004,0.059000000000000004,0.235,0.215,0.455,2142.0
86,0.035,0.188,0.051,0.474,0.252,2148.0
87,0.042,0.095,0.14800000000000002,0.349,0.365,2293.0
88,0.033,0.125,0.161,0.3,0.38,2399.0
89,0.048,0.077,0.13699999999999998,0.381,0.35700000000000004,2682.0
90,0.057999999999999996,0.038,0.11599999999999999,0.435,0.354,2684.0
91,0.064,0.071,0.14,0.272,0.45299999999999996,2703.0
92,0.04,0.049,0.052000000000000005,0.19699999999999998,0.6629999999999999,3000.0
93,0.035,0.11900000000000001,0.16,0.312,0.374,3233.0
94,0.047,0.012,0.078,0.381,0.48100000000000004,
95,0.044000000000000004,0.047,0.126,0.425,0.358,3267.0
96,0.055,0.063,0.031,0.15,0.701,79.0
97,0.053,0.025,0.147,0.19399999999999998,0.581,603.0
98,0.039,0.08,0.07,0.11,0.7020000000000001,606.0
99,0.073,0.013999999999999999,0.03,0.336,0.547,1062.0
100,0.095,0.067,0.237,0.049,0.5529999999999999,1096.0
101,0.111,0.08900000000000001,0.16699999999999998,0.08900000000000001,0.544,1149.0
102,0.031,0.064,0.162,0.17300000000000001,0.57,1578.0
103,0.023,0.025,0.059000000000000004,0.158,0.7340000000000001,1830.0
104,0.051,0.096,0.10400000000000001,0.16399999999999998,0.585,1996.0
105,0.091,0.10800000000000001,0.059000000000000004,0.139,0.602,2097.0
106,0.023,0.024,0.073,0.121,0.759,2325.0
107,0.033,0.055,0.096,0.14800000000000002,0.667,2326.0
108,0.027999999999999997,0.002,0.057999999999999996,0.07400000000000001,0.8370000000000001,2588.0
109,0.031,0.073,0.081,0.17600000000000002,0.639,3253.0
110,0.008,0.013000000000000001,0.046,0.129,0.804,3269.0
111,0.019,0.073,0.134,0.21600000000000003,0.557,89.0
112,0.023,0.10300000000000001,0.163,0.11699999999999999,0.595,100.0
113,0.15,0.10400000000000001,0.10800000000000001,0.10400000000000001,0.534,159.0
114,0.081,0.034,0.083,0.16,0.643,193.0
115,0.129,0.145,0.122,0.18899999999999997,0.41600000000000004,244.0
116,0.094,0.102,0.175,0.184,0.445,269.0
117,0.145,0.132,0.10800000000000001,0.21100000000000002,0.40399999999999997,365.0
118,0.111,0.068,0.115,0.129,0.5770000000000001,410.0
119,0.10400000000000001,0.07400000000000001,0.193,0.09699999999999999,0.531,510.0
120,0.08,0.091,0.08,0.231,0.518,544.0
121,0.08199999999999999,0.124,0.157,0.242,0.395,570.0
122,0.036000000000000004,0.065,0.09300000000000001,0.259,0.546,582.0
123,0.107,0.03,0.16,0.231,0.47200000000000003,585.0
124,0.24100000000000002,0.07200000000000001,0.054000000000000006,0.25,0.38299999999999995,633.0
125,0.071,0.12,0.13699999999999998,0.34700000000000003,0.325,648.0
126,0.078,0.12300000000000001,0.138,0.341,0.32,675.0
127,0.155,0.1,0.16699999999999998,0.21100000000000002,0.36700000000000005,681.0
128,0.059000000000000004,0.017,0.11,0.306,0.508,692.0
129,0.09699999999999999,0.017,0.163,0.319,0.40399999999999997,699.0
130,0.19699999999999998,0.055,0.09300000000000001,0.196,0.45899999999999996,732.0
131,0.078,0.033,0.19,0.18899999999999997,0.509,796.0
132,0.063,0.049,0.207,0.159,0.523,843.0
133,0.066,0.027000000000000003,0.077,0.40299999999999997,0.426,935.0
134,0.149,0.079,0.245,0.187,0.34,1000.0
135,0.105,0.121,0.226,0.19699999999999998,0.35100000000000003,1024.0
136,0.025,0.102,0.068,0.21,0.596,1043.0
137,0.08199999999999999,0.043,0.127,0.258,0.489,1109.0
138,0.062,0.141,0.154,0.34600000000000003,0.297,1148.0
139,0.098,0.073,0.096,0.179,0.5539999999999999,1268.0
140,0.059000000000000004,0.086,0.079,0.21600000000000003,0.56,1326.0
141,0.081,0.07,0.145,0.145,0.56,1340.0
142,0.13699999999999998,0.156,0.08800000000000001,0.179,0.44,1369.0
143,0.086,0.121,0.133,0.23,0.43,1394.0
144,0.11599999999999999,0.10300000000000001,0.135,0.179,0.46799999999999997,1403.0
145,0.042,0.036000000000000004,0.172,0.17300000000000001,0.5770000000000001,1457.0
146,0.14400000000000002,0.10300000000000001,0.205,0.221,0.32799999999999996,1481.0
147,0.12,0.08199999999999999,0.078,0.23399999999999999,0.486,1593.0
